terminal,number_docks,map_label,location,latitude,longitude,zip,city,neighborhood,cped_sector,council_ward,loc_just,coordinates
30160,15,Dupont Ave S & W 29th Street,2945 Dupont Avenue South,44.949699,-93.293129,55408,Minneapolis,Lowry Hill East,Minn-Southwest,10,Minneapolis,"(44.949699000000003, -93.293129000000008)"
30161,15,27th Ave S & East Lake Street,3082 27th Avenue South,44.947329,-93.233092,55406,Minneapolis,Longfellow,Minn-South,9,Minneapolis,"(44.947328999999996, -93.233091999999999)"
30163,15,38th Street Light Rail Station,2999 East 38th Street,44.93434,-93.229338,55406,Minneapolis,Standish,Minn-South,9,Minneapolis,"(44.934339999999999, -93.229337999999998)"
30165,15,Upton Ave S & Sheridan Ave S,4251 Upton Ave S,44.92515,-93.314597,55410,Minneapolis,Linden Hills,Minn-Southwest,13,Minneapolis,"(44.925150000000002, -93.314596999999992)"
30166,19,W 36th Street & W Calhoun Parkway,3187 W 36th St,44.937817,-93.320212,55416,Minneapolis,West Calhoun,Minn-Southwest,13,Attraction,"(44.937816999999995, -93.320211999999998)"
30167,15,E 38th Street & 42nd Ave S,Riverview Theater,44.9342,-93.2125,55402,Minneapolis,Downtown West,Minn-South,7,Minneapolis,"(44.934199999999997, -93.212500000000006)"
30168,15,Marshall Street NE & Lowry Ave,2435 Marshall Street Northeast,45.01312,-93.27166,55418,Minneapolis,Bottineau,Minn-East,3,Minneapolis,"(45.013120000000001, -93.271659999999997)"
30169,15,Marshall Street NE & 18th Ave NE,1893 Marshall Street Northeast,45.006229,-93.271571,55418,Minneapolis,Bottineau,Minn-East,3,Equity,"(45.006228999999998, -93.271570999999994)"
30170,15,Nicollet Island,38 W Island Ave,44.985388,-93.26145,55401,Minneapolis,Nicollet Island/East Bank,Minn-East,3,Attraction,"(44.985388, -93.261449999999996)"
30171,15,SE 3rd Ave & University Ave SE,278 3rd Ave SE,44.985465,-93.252102,55414,Minneapolis,Marcy-Holmes,Minn-East,3,Minneapolis,"(44.985465000000005, -93.252102000000008)"
30172,15,2nd Street SE & 5th Ave SE,514 2nd St SE,44.983321,-93.249653,55414,Minneapolis,Marcy-Holmes,Minn-East,3,Minneapolis,"(44.983321000000004, -93.249653000000009)"
30173,15,22nd Ave NE & California Street NE,85 22nd Ave NE,45.010119,-93.268598,55418,Minneapolis,Bottineau,Minn-East,3,Minneapolis,"(45.010119000000003, -93.268597999999997)"
30174,15,Hiawatha Ave & E 50th Street,5010 Hiawatha Avenue,44.9129425,-93.2101402,55417,Minneapolis,Minnehaha,Minn-South,12,Minneapolis,"(44.9129425, -93.210140199999998)"
30175,15,18th Ave Trail & 2nd Street NE,1700 2nd St NE,45.006321,-93.266553,55418,Minneapolis,Sheridan,Minn-East,3,Equity,"(45.006321, -93.266553000000002)"
30176,19,Washington Ave N & Cedar Lake Trail,347 N Washington Ave,44.985406,-93.274031,55401,Minneapolis,North Loop,Minn-Downtown,3,Minneapolis,"(44.985405999999998, -93.274031000000008)"
30177,11,3rd Street NE & Lowry Ave NE,2455 3rd Street NE,45.01304,-93.264573,55418,Minneapolis,Bottineau,Minn-East,1,Equity,"(45.013040000000004, -93.264572999999999)"
30178,15,5th Street NE & 1st Ave NE,105 5th Street NE,44.990328,-93.254295,55413,Minneapolis,Nicollet Island/East Bank,Minn-East,3,Minneapolis,"(44.990328000000005, -93.254294999999999)"
