STATION_NAME,DATE,PRECIP,TEMP_AVG,TEMP_MAX,TEMP_MIN,AVG_WIND,WDF2 (Direction of fastest 2 min wind - degrees),WDF5 (Direction of fastest 5 second wind - degrees),WSF2 (Fastest 2 min wind speed),WSF5 (Fastests 5 second wind speed),FOG,HAIL,HEAVY FOG,ICE,SMOKE/HAZE,THUNDER
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160721,0.16,85,95,71,6.9,360,360,33.1,46.1,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160722,0,85,97,74,5.8,80,50,13,19,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160723,2.17,79,82,71,9.2,200,190,23,32,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160724,0,78,85,72,10.3,260,290,21,27.1,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160725,0,77,87,67,6.3,300,10,16.1,19.9,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160726,0,81,91,72,9.8,230,220,19.9,27.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160727,0.48,79,80,68,6.9,200,200,21.9,30,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160728,0,69,77,65,9.2,20,30,16.1,25.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160729,0,70,79,61,6.5,10,20,14.1,21.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160730,0,73,81,67,6.3,180,180,17,23,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160731,0,74,84,67,9.6,160,160,18.1,23,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160801,0,77,85,70,10.1,120,130,19.9,25.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160802,0,79,88,73,5.6,220,160,10.1,15,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160803,0,83,91,74,7.4,180,180,15,19.9,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160804,1.13,80,85,70,11.4,320,270,23,30,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160805,0,72,79,64,10.5,310,320,19.9,23.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160806,0,72,82,62,5.4,340,30,14.1,21,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160807,0,73,82,63,3.4,160,160,10.1,12.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160808,0,74,83,65,8.9,150,150,17,21.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160809,0,77,87,69,8.7,220,210,17,23.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160810,1.53,82,91,69,9.2,320,20,29.1,32,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160811,1.11,75,84,69,6.7,130,160,16.1,19.9,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160812,0.33,76,82,68,6.3,350,30,14.1,23,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160813,0,72,81,65,6.9,300,310,16.1,21,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160814,0,73,83,63,5.1,330,30,12.1,17,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160815,0,74,82,64,5.1,180,130,12.1,16.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160816,0.2,75,86,67,5.4,20,230,23,27.1,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160817,0,73,86,64,2.9,80,50,10.1,18.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160818,0,77,85,68,4.9,140,190,16.1,19.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160819,0.44,73,79,65,9.2,270,260,32,40,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160820,0.38,65,68,58,8.3,310,310,23.9,32,1,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160821,0,64,74,56,6.9,310,320,16.1,21.9,0,0,0,0,0,0
